DataName,Method,PCD,KSTest,CSTest,Acc TSTR,F1 TSTR,Acc TRTS,F1 TRTS,Acc TRTR,F1 TRTR,Acc TSTS,F1 TSTS,DCR,NNDR
3_imputed_SweatBinary,GVAE,1.3203,0.7153,0.8964,0.6917,0.7104,0.6114,0.6783,0.6267,0.673,0.785,0.7918,[ 548.0875 1191.8658],[0.9097 0.0821]
4_imputed_SweatBinary,GVAE,1.2763,0.7094,0.9003,0.6375,0.6368,0.5886,0.6615,0.6267,0.6787,0.756,0.7525,[ 580.3432 1191.1696],[0.9012 0.1   ]
5_imputed_SweatBinary,GVAE,1.462,0.7428,0.9191,0.6417,0.6902,0.621,0.6892,0.6489,0.6954,0.807,0.8101,[ 546.6385 1200.9419],[0.926  0.0899]
6_imputed_SweatBinary,GVAE,1.2329,0.7594,0.8886,0.5958,0.6262,0.6214,0.6954,0.6289,0.6787,0.807,0.8074,[ 529.1042 1193.439 ],[0.9063 0.1041]
7_imputed_SweatBinary,GVAE,1.3973,0.7546,0.9163,0.6208,0.6688,0.5766,0.6897,0.6067,0.6692,0.791,0.8068,[ 527.0758 1195.898 ],[0.9164 0.1047]
8_imputed_SweatBinary,GVAE,1.2203,0.7695,0.9251,0.6708,0.7247,0.6166,0.7086,0.6067,0.6635,0.767,0.784,[ 535.6706 1197.3671],[0.9221 0.1038]
9_imputed_SweatBinary,GVAE,1.712,0.7556,0.8973,0.7083,0.7536,0.5974,0.6855,0.6044,0.6706,0.751,0.7694,[ 539.9845 1197.3218],[0.8997 0.0828]
10_imputed_SweatBinary,GVAE,1.2061,0.773,0.9137,0.6958,0.7389,0.6162,0.7003,0.6289,0.6787,0.819,0.8264,[ 540.1519 1198.2459],[0.9256 0.086 ]
